fecha,arrestos_femenino,arrestos_masculino,arrestos_no_especifica,arrestos_totales,liberados_femenino,liberados_masculino,liberados_no_especifica,liberados_totales,siguen_detenidos_femenino,siguen_detenidos_masculino,siguen_detenidos_no_especifica,siguen_detenidos_totales
2020-03-22,25,611,197,833,25,609,197,831,0,2,0,2
2020-03-23,57,73,937,1067,57,68,926,1051,0,5,11,16
2020-03-24,16,215,1033,1264,16,215,1026,1257,0,0,7,7
2020-03-25,31,260,793,1084,31,260,793,1084,0,0,0,0
2020-03-26,99,409,690,1198,99,409,683,1191,0,0,7,7
2020-03-27,51,249,388,688,51,249,388,688,0,0,0,0
2020-03-28,9,91,427,527,9,91,423,523,0,0,4,4
2020-03-29,30,72,328,430,30,72,328,430,0,0,0,0
2020-03-30,64,235,324,623,64,235,323,622,0,0,1,1
2020-03-31,56,212,286,554,56,212,285,553,0,0,1,1
2020-04-01,47,264,161,472,47,264,157,468,0,0,4,4
2020-04-02,80,286,183,549,79,282,176,537,1,4,7,12
2020-04-03,34,246,139,419,34,246,134,414,0,0,5,5
2020-04-04,38,182,58,278,38,182,58,278,0,0,0,0
2020-04-05,35,215,91,341,35,215,91,341,0,0,0,0
2020-04-06,54,204,197,455,53,200,194,447,1,4,3,8
2020-04-07,53,268,100,421,53,268,98,419,0,0,2,2
2020-04-08,32,176,145,353,30,169,145,344,2,7,0,9
2020-04-09,62,244,210,516,62,244,206,512,0,0,4,4
2020-04-10,35,202,247,484,35,202,247,484,0,0,0,0
2020-04-11,29,193,249,471,29,192,242,463,0,1,7,8
2020-04-12,39,232,151,422,39,232,145,416,0,0,6,6
2020-04-13,51,286,221,558,50,281,220,551,1,5,1,7
2020-04-14,93,283,186,562,93,283,167,543,0,0,19,19
2020-04-15,69,283,354,706,69,283,354,706,0,0,0,0
2020-04-16,36,245,143,424,36,245,135,416,0,0,8,8
2020-04-17,85,207,310,602,85,202,275,562,0,5,35,40
2020-04-18,47,152,112,311,45,142,112,299,2,10,0,12
2020-04-19,37,179,119,335,37,179,118,334,0,0,1,1
2020-04-20,50,217,50,317,50,217,50,317,0,0,0,0
2020-04-21,39,170,352,561,39,170,349,558,0,0,3,3
2020-04-22,36,218,208,462,36,218,208,462,0,0,0,0
2020-04-23,48,228,111,387,48,228,107,383,0,0,4,4
2020-04-24,79,360,187,626,79,360,186,625,0,0,1,1
2020-04-25,44,259,62,365,44,259,57,360,0,0,5,5
2020-04-26,25,130,159,314,25,130,158,313,0,0,1,1
2020-04-27,37,188,262,487,37,188,244,469,0,0,18,18
2020-04-28,27,226,217,470,27,226,188,441,0,0,29,29
2020-04-29,27,190,158,375,27,190,156,373,0,0,2,2
2020-04-30,52,202,144,398,52,202,144,398,0,0,0,0
